City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
489,Am Timan,11.0297,20.2827,82.4,11,100,3.29,overcast clouds,TD,2022-02-12 19:40:59
490,Sindor,62.8629,51.8905,10.11,99,92,4.25,overcast clouds,RU,2022-02-12 19:40:59
491,Mayumba,-3.432,10.6554,78.62,89,100,5.95,overcast clouds,GA,2022-02-12 19:41:00
492,Beira,-19.8436,34.8389,82.49,74,40,12.66,scattered clouds,MZ,2022-02-12 19:41:00
493,Alexandria,31.2156,29.9553,57.74,77,20,9.22,few clouds,EG,2022-02-12 19:38:56
494,Viradouro,-20.8731,-48.2969,86.09,87,50,4.34,scattered clouds,BR,2022-02-12 19:41:01
495,Colchester,51.8892,0.9042,43.74,75,100,17.9,overcast clouds,GB,2022-02-12 19:36:37
496,Sena Madureira,-9.0656,-68.6569,88.32,58,78,4.32,light rain,BR,2022-02-12 19:41:01
497,Mednogorsk,51.4128,57.595,17.29,96,81,6.93,broken clouds,RU,2022-02-12 19:41:02
498,Goderich,43.7501,-81.7165,15.91,79,100,14.97,overcast clouds,CA,2022-02-12 19:41:02
499,La Palma,33.8464,-118.0467,89.65,14,20,17.27,few clouds,US,2022-02-12 19:41:03
500,Mazara Del Vallo,37.6641,12.588,53.92,78,95,5.17,overcast clouds,IT,2022-02-12 19:41:03
501,Bondo,3.8146,23.6866,75.31,36,100,2.13,overcast clouds,CD,2022-02-12 19:41:04
502,Horta,38.5333,-28.6333,62.24,77,40,20.71,scattered clouds,PT,2022-02-12 19:41:04
503,Viedma,-40.8135,-62.9967,83.89,14,100,8.12,overcast clouds,AR,2022-02-12 19:41:05
504,Aracati,-4.5617,-37.7697,82.33,67,6,10.49,clear sky,BR,2022-02-12 19:41:05
505,Areosa,41.7178,-8.8571,54.25,84,5,4.65,clear sky,PT,2022-02-12 19:41:06
506,Tarauaca,-8.1614,-70.7656,81.34,90,100,2.21,overcast clouds,BR,2022-02-12 19:41:06
507,Venezuela,8.0,-66.0,96.66,27,58,14.2,broken clouds,VE,2022-02-12 19:41:06
508,Buraydah,26.326,43.975,50.45,38,0,9.26,clear sky,SA,2022-02-12 19:41:07
509,Balboa,2.0396,-77.2168,69.76,78,97,5.3,light rain,CO,2022-02-12 19:42:07
510,Padang,-0.9492,100.3543,76.48,82,95,4.23,overcast clouds,ID,2022-02-12 19:42:08
511,Beyneu,45.3167,55.2,37.94,84,100,8.25,overcast clouds,KZ,2022-02-12 19:42:08
512,Canavieiras,-15.675,-38.9472,82.36,64,49,6.46,scattered clouds,BR,2022-02-12 19:42:08
513,Carinhanha,-14.3047,-43.765,79.61,76,100,6.78,overcast clouds,BR,2022-02-12 19:42:09
514,Kabinda,-6.1333,24.4833,67.95,93,75,1.41,light rain,CD,2022-02-12 19:42:09
515,Fort-Shevchenko,44.5086,50.263,41.32,93,84,11.52,broken clouds,KZ,2022-02-12 19:42:10
516,Bermeo,43.4209,-2.7215,54.25,78,94,1.54,overcast clouds,ES,2022-02-12 19:42:10
517,Antalaha,-14.9003,50.2788,73.94,90,40,5.35,scattered clouds,MG,2022-02-12 19:42:11
518,Dedougou,12.4667,-3.4667,80.15,10,5,6.85,clear sky,BF,2022-02-12 19:42:11
519,Atkinson,42.8384,-71.147,59.52,50,20,10.36,few clouds,US,2022-02-12 19:42:12
520,Glinka,54.6404,32.8781,22.05,92,26,11.16,scattered clouds,RU,2022-02-12 19:42:12
521,Boende,-0.2167,20.8667,80.78,53,83,3.56,broken clouds,CD,2022-02-12 19:42:12
522,Ust-Tsilma,65.441,52.1498,12.99,96,95,6.02,overcast clouds,RU,2022-02-12 19:39:33
523,Ozinki,51.1786,49.6769,19.0,96,100,4.12,overcast clouds,RU,2022-02-12 19:42:13
524,Nsanje,-16.92,35.262,74.01,85,92,3.22,overcast clouds,MW,2022-02-12 19:42:13
525,Pitkyaranta,61.5734,31.4792,22.55,95,52,8.34,broken clouds,RU,2022-02-12 19:42:14
