City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
263,Yar-Sale,RU,2022-02-01 01:43:07,66.8333,70.8333,-16.98,99,42,5.61
264,Tortoli,IT,2022-02-01 01:43:08,39.9256,9.6572,51.62,54,20,11.5
265,Mundi,IN,2022-02-01 01:43:08,22.0667,76.5,60.57,49,1,2.24
266,Deputatskiy,RU,2022-02-01 01:44:09,69.3,139.9,-20.18,99,100,2.98
267,Ismailia,EG,2022-02-01 01:44:10,30.6043,32.2723,49.32,88,1,7.76
268,Tautira,PF,2022-02-01 01:40:52,-17.7333,-149.15,84.22,78,27,19.48
269,Ust-Kuyga,RU,2022-02-01 01:44:10,70.0167,135.6,-31.43,100,99,2.51
270,Tonantins,BR,2022-02-01 01:44:11,-2.8731,-67.8022,77.36,83,91,1.32
271,Sturgis,US,2022-02-01 01:44:11,41.7992,-85.4192,26.64,80,0,9.22
272,Cairns,AU,2022-02-01 01:39:35,-16.9167,145.7667,88.11,76,75,8.05
273,Mingrelskaya,RU,2022-02-01 01:44:12,45.0134,38.3379,34.07,87,94,5.23
274,Batagay-Alyta,RU,2022-02-01 01:44:12,67.8006,130.4114,-21.06,99,97,3.38
275,Jalu,LY,2022-02-01 01:44:13,29.0331,21.5482,51.84,66,1,9.71
276,Flinders,AU,2022-02-01 01:44:13,-34.5833,150.8552,91.8,68,14,4.0
277,Khandbari,NP,2022-02-01 01:44:13,27.3747,87.2039,48.02,81,98,2.71
278,Novoagansk,RU,2022-02-01 01:44:14,61.9449,76.6625,5.5,97,100,4.21
279,Murgab,TM,2022-02-01 01:44:14,37.4966,61.9714,33.67,80,72,6.91
280,Kouqian,CN,2022-02-01 01:44:15,43.6391,126.4578,8.17,86,99,3.6
281,Nouadhibou,MR,2022-02-01 01:44:15,20.931,-17.0347,66.18,82,100,8.05
282,Lisakovsk,KZ,2022-02-01 01:44:16,52.5369,62.4936,13.01,96,100,6.26
283,Shache,CN,2022-02-01 01:44:16,38.4167,77.2406,27.72,42,76,1.05
284,Galveston,US,2022-02-01 01:44:17,29.3669,-94.9669,60.06,94,100,4.0
285,Thanh Hoa,VN,2022-02-01 01:44:17,19.8,105.7667,55.78,69,100,5.75
286,Kalat,PK,2022-02-01 01:44:18,29.0225,66.5916,38.12,35,0,2.17
287,Katsuura,JP,2022-02-01 01:44:18,35.1333,140.3,44.71,44,91,7.07
288,Marovoay,MG,2022-02-01 01:44:19,-16.1,46.6333,77.14,91,54,4.23
289,San Patricio,US,2022-02-01 01:44:19,28.017,-97.5169,66.29,94,98,11.9
290,Antofagasta,CL,2022-02-01 01:42:16,-23.65,-70.4,67.28,83,10,3.22
